# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  270,20161231,   52,   76,   39
  380,20160101,   60,   87,   25
  380,20160102,   74,   95,   44
  380,20160103,   66,   88,   41
  380,20160104,   63,   76,   37
  380,20160105,   67,   80,   32
  380,20160106,   64,   78,   33
  380,20160107,   60,   81,   27
  380,20160108,   43,   79,    9
  380,20160109,   58,   81,   13
  380,20160110,   68,   91,   30
  380,20160111,   55,   78,   21
  380,20160112,   56,   75,   38
  380,20160113,   43,   56,   11
  380,20160114,   29,   49,   11
  380,20160115,   17,   22,    6
  380,20160116,   18,   50,   -8
  380,20160117,  -12,    9,  -67
  380,20160118,  -36,   -4,  -77
  380,20160119,  -38,    4,  -92
  380,20160120,   -5,   10,  -29
  380,20160121,    4,   43,  -45
  380,20160122,   17,   45,  -45
  380,20160123,   59,   78,   33
  380,20160124,   68,   85,   30
  380,20160125,  108,  162,   51
  380,20160126,   96,  108,   79
  380,20160127,  100,  110,   85
  380,20160128,   57,   97,   -3
  380,20160129,   68,   91,   13
  380,20160130,   62,   89,   17
  380,20160131,   70,  116,   28
  380,20160201,  108,  116,   97
  380,20160202,   80,  109,   42
  380,20160203,   45,   69,   25
  380,20160204,   47,   79,   16
